type,phase,office,service,multiplier
UNAV_delta,0,E2,P,-0.0
UNAV_delta,0,E2,S,-0.0
UNAV_delta,0,E2,O,-101.0
UNAV_delta,0,E2,T,-0.0
UNAV_delta,0,E2,M,-0.0
UNAV_delta,1,B1,P,-0.0
UNAV_delta,1,B1,S,-0.0
UNAV_delta,1,B1,O,-0.0
UNAV_delta,1,B1,T,-0.0
UNAV_delta,1,B1,M,-202.0
UNAV_delta,1,B2,P,-0.0
UNAV_delta,1,B2,S,-0.0
UNAV_delta,1,B2,O,-0.0
UNAV_delta,1,B2,T,-0.0
UNAV_delta,1,B2,M,-201.0
UNAV_delta,1,B3,P,-0.0
UNAV_delta,1,B3,S,-0.0
UNAV_delta,1,B3,O,-0.0
UNAV_delta,1,B3,T,-0.0
UNAV_delta,1,B3,M,-201.0
UNAV_delta,2,D1,P,-0.0
UNAV_delta,2,D1,S,-0.0
UNAV_delta,2,D1,O,-0.0
UNAV_delta,2,D1,T,-202.0
UNAV_delta,2,D1,M,-0.0
UNAV_delta,2,D2,P,-0.0
UNAV_delta,2,D2,S,-0.0
UNAV_delta,2,D2,O,-0.0
UNAV_delta,2,D2,T,-202.0
UNAV_delta,2,D2,M,-0.0
UNAV_delta,2,D3,P,-0.0
UNAV_delta,2,D3,S,-0.0
UNAV_delta,2,D3,O,-0.0
UNAV_delta,2,D3,T,-202.0
UNAV_delta,2,D3,M,-0.0
UNAV_delta,3,C1,P,-0.0
UNAV_delta,3,C1,S,-202.0
UNAV_delta,3,C1,O,-0.0
UNAV_delta,3,C1,T,-0.0
UNAV_delta,3,C1,M,-0.0
UNAV_delta,3,C2,P,-0.0
UNAV_delta,3,C2,S,-202.0
UNAV_delta,3,C2,O,-0.0
UNAV_delta,3,C2,T,-0.0
UNAV_delta,3,C2,M,-0.0
UNAV_delta,4,A1,P,-202.0
UNAV_delta,4,A1,S,-0.0
UNAV_delta,4,A1,O,-0.0
UNAV_delta,4,A1,T,-0.0
UNAV_delta,4,A1,M,-0.0
UNAV_delta,4,A2,P,-202.0
UNAV_delta,4,A2,S,-0.0
UNAV_delta,4,A2,O,-0.0
UNAV_delta,4,A2,T,-0.0
UNAV_delta,4,A2,M,-0.0
BC0_lambda,0,A1,P,-100.0
BC0_lambda,0,A1,S,-0.0
BC0_lambda,0,A1,O,-0.0
BC0_lambda,0,A1,T,-0.0
BC0_lambda,0,A1,M,-0.0
BC0_lambda,0,A2,P,-100.0
BC0_lambda,0,A2,S,-0.0
BC0_lambda,0,A2,O,-0.0
BC0_lambda,0,A2,T,-0.0
BC0_lambda,0,A2,M,-0.0
BC0_lambda,0,B1,P,-0.0
BC0_lambda,0,B1,S,-0.0
BC0_lambda,0,B1,O,100.0
BC0_lambda,0,B1,T,-0.0
BC0_lambda,0,B1,M,101.0
BC0_lambda,0,B2,P,-0.0
BC0_lambda,0,B2,S,100.0
BC0_lambda,0,B2,O,-0.0
BC0_lambda,0,B2,T,-0.0
BC0_lambda,0,B2,M,-100.0
BC0_lambda,0,B3,P,-0.0
BC0_lambda,0,B3,S,-0.0
BC0_lambda,0,B3,O,100.0
BC0_lambda,0,B3,T,103.0
BC0_lambda,0,B3,M,-100.0
BC0_lambda,0,C1,P,-0.0
BC0_lambda,0,C1,S,-101.0
BC0_lambda,0,C1,O,-0.0
BC0_lambda,0,C1,T,103.0
BC0_lambda,0,C1,M,-0.0
BC0_lambda,0,C2,P,-0.0
BC0_lambda,0,C2,S,-100.0
BC0_lambda,0,C2,O,-0.0
BC0_lambda,0,C2,T,-0.0
BC0_lambda,0,C2,M,-0.0
BC0_lambda,0,D1,P,-0.0
BC0_lambda,0,D1,S,-0.0
BC0_lambda,0,D1,O,-0.0
BC0_lambda,0,D1,T,3.0
BC0_lambda,0,D1,M,-0.0
BC0_lambda,0,D2,P,-0.0
BC0_lambda,0,D2,S,-0.0
BC0_lambda,0,D2,O,-0.0
BC0_lambda,0,D2,T,-100.0
BC0_lambda,0,D2,M,201.0
BC0_lambda,0,D3,P,-0.0
BC0_lambda,0,D3,S,-0.0
BC0_lambda,0,D3,O,-0.0
BC0_lambda,0,D3,T,-100.0
BC0_lambda,0,D3,M,201.0
BC0_lambda,0,E1,P,-0.0
BC0_lambda,0,E1,S,-0.0
BC0_lambda,0,E1,O,-0.0
BC0_lambda,0,E1,T,-0.0
BC0_lambda,0,E1,M,-0.0
BC0_lambda,0,E2,P,-0.0
BC0_lambda,0,E2,S,-0.0
BC0_lambda,0,E2,O,-0.0
BC0_lambda,0,E2,T,-0.0
BC0_lambda,0,E2,M,-0.0
BC5_rho,5,A1,P,1.0
BC5_rho,5,A1,S,-0.0
BC5_rho,5,A1,O,-0.0
BC5_rho,5,A1,T,-0.0
BC5_rho,5,A1,M,-0.0
BC5_rho,5,A2,P,1.0
BC5_rho,5,A2,S,-0.0
BC5_rho,5,A2,O,-0.0
BC5_rho,5,A2,T,-0.0
BC5_rho,5,A2,M,-0.0
BC5_rho,5,B1,P,-0.0
BC5_rho,5,B1,S,-0.0
BC5_rho,5,B1,O,-0.0
BC5_rho,5,B1,T,-0.0
BC5_rho,5,B1,M,-0.0
BC5_rho,5,B2,P,-0.0
BC5_rho,5,B2,S,-0.0
BC5_rho,5,B2,O,-0.0
BC5_rho,5,B2,T,-0.0
BC5_rho,5,B2,M,-100.0
BC5_rho,5,B3,P,-0.0
BC5_rho,5,B3,S,-0.0
BC5_rho,5,B3,O,-0.0
BC5_rho,5,B3,T,-0.0
